105 0.499137	0.5129
110 0.500213	0.513415
305 0.47917	0.493734
310 0.480013	0.494987
315 0.480832	0.495504
320 0.482279	0.496688
325 0.480088	0.494691
330 0.48172	0.496236
335 0.480579	0.495004
340 0.485728	0.497052
345 0.485439	0.497111
350 0.483896	0.49789
355 0.479297	0.493637
360 0.478317	0.492828
365 0.478205	0.492601
370 0.475023	0.48981
375 0.478882	0.494012
380 0.480485	0.495374
385 0.480076	0.494881
390 0.478212	0.493192
395 0.480743	0.495331
400 0.47537	0.490653
405 0.477629	0.492565
410 0.482595	0.49763
415 0.484664	0.49981
420 0.478648	0.493446
425 0.479098	0.494159
430 0.478627	0.493357
435 0.48264	0.497258
440 0.476765	0.491562
445 0.477498	0.494965
450 0.478425	0.493409
455 0.476921	0.49223
460 0.478881	0.493807
465 0.476277	0.491024
470 0.476511	0.49111
475 0.470028	0.487622
480 0.474346	0.489194
485 0.477656	0.492419
490 0.474079	0.48847
495 0.474185	0.488454
500 0.473847	0.48811
