10.000000	0.166664	0.846008	0.273267	0.354801	34.219174	1.584067	0.478535	1434.848316	56.592079
12.000000	0.187081	1.188342	0.081663	0.228252	56.372595	1.286660	0.584668	1444.907084	20.843140
14.000000	0.165308	0.980138	0.044612	0.175543	62.277154	1.001850	0.659149	1838.295920	16.937581
16.000000	0.173738	0.963810	0.040539	0.161015	61.476292	1.032084	0.665247	1789.538457	15.155800
18.000000	0.207826	1.243981	0.047302	0.199030	54.747310	0.894267	0.593144	1387.150200	11.619114
20.000000	0.303774	2.432903	0.073574	0.268917	46.486397	0.883842	0.427309	913.207596	9.888715
22.000000	0.483666	3.050538	0.070462	0.325977	31.196841	0.674706	0.190357	438.806873	6.291369
24.000000	0.445854	1.933526	0.059697	0.457406	13.815211	0.270100	0.096740	166.565545	2.898882
26.000000	0.316371	1.047261	0.041736	0.614493	8.641336	0.105520	0.069135	102.427903	2.112685
28.000000	0.283680	0.861459	0.034194	0.668970	7.516953	0.070505	0.047349	95.072107	2.349250
30.000000	0.265974	0.762117	0.029738	0.698919	6.926317	0.053488	0.035106	97.401931	2.669252
32.000000	0.251621	0.689495	0.026200	0.720467	6.516659	0.042499	0.027911	96.638751	2.846380
34.000000	0.238527	0.622565	0.023163	0.738842	6.192995	0.034239	0.022631	94.747556	2.979171
36.000000	0.224471	0.557621	0.020724	0.755057	5.913659	0.028552	0.020472	80.953432	2.696898
38.000000	0.213695	0.501223	0.018164	0.765606	5.680750	0.024336	0.020699	62.755572	2.109650
40.000000	0.207577	0.475178	0.015794	0.773739	5.551140	0.020560	0.018685	55.681080	1.915445
