57
C1 = -4.57
C2 = -4.57
C3 = -4.57
N4 = 9.4
C5 = -0.83
C6 = -0.83
OS7 = 5.80
P8 = 5.17
OM9 = 5.80
OM10 = 5.80
OS11 = 5.80
C12 = -0.83
C13 = 2.91
OS14 = 5.80
C15 = 6.65
O16 = 5.80
C17 = -0.83
C18 = -0.83
C19 = -0.83
C20 = -0.83
C21 = -0.83
C22 = -0.83
C23 = -0.83
C24 = 2.91
C25 = 2.91
C26 = -0.83
C27 = -0.83
C28 = -0.83
C29 = -0.83
C30 = -0.83
C31 = -0.83
C32 = -0.83
C33 = -4.57
C34 = -0.83
OS35 = 5.80
C36 = 6.65
O37 = 5.80
C38 = -0.83
C39 = -0.83
C40 = -0.83
C41 = -0.83
C42 = -0.83
C43 = -0.83
C44 = -0.83
C45 = -0.83
C46 = -0.83
C47 = -0.83
C48 = -0.83
C49 = -0.83
C50 = -0.83
C51 = -0.83
C52 = -4.57
OW  = 8.83000
HW1 = 0
HW2 = 0
NA = 3.36 
CL = 9.5770
